Address,Area,Year,Number Of Room,Price,Price per meter,Floor,Elevator,Parking,Warehouse
دریاچه شهدای خلیج فارس,110,1396,2,3520000000,32000000,4,1,1,1
جلفا,135,1385,3,6500000000,48148000,2,1,1,1
کوی فردوس,110,1392,2,3740000000,34000000,3,0,1,1
دریاچه شهدای خلیج فارس,63,1400,2,1200000000,19048000,10,1,1,1
چیتگر,13,1399,0,162500000,12500000,1,1,1,1
پاسداران,138,1385,3,6650000000,48188000,2,0,1,1
نارمک,75,1377,2,1875000000,25000000,4,0,0,1
شاهین,65,1392,1,2500000000,38462000,2,1,1,1
کوی فردوس,73,1384,2,1840000000,25205000,3,0,0,1
تهرانپارس غربی,64,1389,1,2100000000,32812000,1,1,1,1
منیریه,104,1380,2,2780000000,26731000,2,0,0,1
پونک,81,1395,2,3700000000,45679000,5,1,1,1
قیام,70,1385,2,1150000000,16429000,3,0,1,1
شهرک کیانشهر,60,1386,1,840000000,14000000,4,0,1,1
دریاچه شهدای خلیج فارس,80,1397,2,2700000000,33750000,2,1,1,1
زمزم,59,1385,2,1080000000,18305000,2,0,0,1
جوادیه,60,1380,2,820000000,13667000,0,0,0,1
زعفرانیه,200,1384,3,16000000000,80000000,5,1,1,1
خواجه نظام الملک,56,1381,2,990000000,17679000,0,0,0,1
سعادت‌آباد,218,1384,3,12900000000,59174000,5,1,1,1
قرچک,52,1393,1,170000000,3269000,3,0,1,1
شهریار,90,1399,2,950000000,10556000,1,0,1,1
مجیدیه,110,1395,2,4360000000,39636000,2,1,1,1
استاد معین,100,1400,2,1800000000,18000000,3,1,1,1
جنت‌آباد جنوبی,160,1400,3,8475000000,52969000,2,1,1,1
سبلان,85,1399,2,2150000000,25294000,4,1,1,0
شهر ری - تقی‌آباد,85,1400,2,765000000,9000000,3,1,1,1
خواجه نصیر طوسی,95,1400,2,2750000000,28947000,3,1,1,1
جوادیه تهرانپارس,38,1386,1,1080000000,28421000,2,0,1,1
استاد معین,72,1390,2,1900000000,26389000,2,0,1,1
آبشار تهران,73,1388,2,2400000000,32877000,8,1,1,1
نیرو هوایی,97,1393,2,3450000000,35567000,5,1,1,1
اندیشه,165,1395,3,2050000000,12424000,4,1,1,1
شهران جنوبی,95,1391,2,3500000000,36842000,3,1,1,1
گیشا (کوی نصر),159,1395,3,10000000000,62893000,2,1,1,1
ستارخان,58,1393,1,2300000000,39655000,2,1,1,1
کامرانیه,218,1386,3,17900000000,82110000,4,1,1,1
جنت‌آباد جنوبی,68,1386,1,2000000000,29412000,2,0,1,1
نارمک,72,1400,2,2950000000,40972000,3,1,1,1
دزاشیب,88,1385,1,4800000000,54545000,4,1,0,1
قرچک,68,1391,2,400000000,5882000,5,1,0,1
پونک,84,1395,2,3750000000,44643000,5,1,1,1
ایران,72,1396,2,2550000000,35417000,4,1,1,1
جنت‌آباد جنوبی,88,1391,2,3740000000,42500000,1,1,1,1
الهیه,146,1381,3,10000000000,68493000,3,1,1,1
پونک,165,1399,3,11200000000,67879000,8,1,1,1
باغ فیض,55,1382,3,2300000000,41818000,3,1,1,1
شهر قدس,81,1388,2,720000000,8889000,2,1,0,1
شهر ری - استخر,50,1385,1,900000000,18000000,1,0,0,0
پردیس,87,1400,2,940000000,10805000,13,1,1,1
اندیشه,79,1393,2,600000000,7595000,2,1,1,1
ابوذر (منطقه ),100,1400,2,1060000000,10600000,12,1,1,1
پردیس,105,1392,2,2200000000,20952000,2,1,1,1
فلاح,61,1396,1,890000000,14590000,3,1,1,0
یوسف‌آباد,131,1399,3,8200000000,62595000,4,1,1,1
سعادت‌آباد,82,1386,2,3000000000,36585000,3,1,1,1
